New York City Police Department, NY,753
Chicago Police Department, IL,492
Puerto Rico Police Department, PR,338
United States Department of Justice - United States Marshals Service, US,279
Philadelphia Police Department, PA,256
Detroit Police Department, MI,229
California Highway Patrol, CA,221
Los Angeles Police Department, CA,210
St. Louis Metropolitan Police Department, MO,170
Baltimore City Police Department, MD,135
New York State Police, NY,126
Metropolitan Police Department, DC,121
Kansas City Police Department, MO,120
New Orleans Police Department, LA,112
Houston Police Department, TX,110
Cleveland Police Department, OH,107
Texas Rangers, TX,104
Los Angeles County Sheriff's Department, CA,103
San Francisco Police Department, CA,102
Cincinnati Police Department, OH,99
United States Department of the Treasury - Customs Service, US,90
Pittsburgh Police Department, PA,86
Texas Department of Public Safety - Texas Highway Patrol, TX,86
Atlanta Police Department, GA,85
Louisville Police Department, KY,82
Dallas Police Department, TX,79
Boston Police Department, MA,75
Memphis Police Department, TN,73
Denver Police Department, CO,69
Pennsylvania State Police, PA,69
New Jersey State Police, NJ,69
United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US,67
United States Department of Justice - Federal Bureau of Investigation, US,64
Texas Department of Criminal Justice, TX,63
Milwaukee Police Department, WI,61
United States Department of the Treasury - Internal Revenue Service - Prohibition Unit, US,60
Seattle Police Department, WA,59
Illinois State Police, IL,59
North Carolina Highway Patrol, NC,58
Indianapolis Police Department, IN,57
Columbus Division of Police, OH,56
San Antonio Police Department, TX,56
Fort Worth Police Department, TX,53
Michigan State Police, MI,52
United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US,51
Oakland Police Department, CA,51
Buffalo Police Department, NY,50
South Carolina Highway Patrol, SC,50
Newark Police Department, NJ,48
Minneapolis Police Department, MN,48
Virginia State Police, VA,48
Birmingham Police Department, AL,47
Honolulu Police Department, HI,47
Florida Highway Patrol, FL,45
Norfolk Police Department, VA,44
Phoenix Police Department, AZ,44
Indiana State Police, IN,44
Port Authority of New York and New Jersey Police Department, NY,44
Maryland State Police, MD,42
West Virginia State Police, WV,41
Richmond Police Department, VA,40
Harris County Sheriff's Office, TX,40
Tulsa Police Department, OK,40
Ohio State Highway Patrol, OH,40
 Jr.",39
Tennessee Highway Patrol, TN,39
Miami Police Department, FL,38
United States Department of Justice - Drug Enforcement Administration, US,37
California Department of Corrections and Rehabilitation, CA,36
United States Department of the Treasury - Internal Revenue Service - Bureau of Prohibition, US,36
St. Paul Police Department, MN,35
United States Department of Justice - Bureau of Prohibition, US,35
New York State Department of Correctional Services, NY,34
Nassau County Police Department, NY,34
Oklahoma Highway Patrol, OK,34
Jersey City Police Department, NJ,33
Oklahoma City Police Department, OK,33
Massachusetts State Police, MA,33
Arizona Department of Public Safety, AZ,33
Jacksonville Police Department, FL,32
San Diego Police Department, CA,32
United States Department of the Interior - National Park Service, US,32
Toledo Police Department, OH,31
United States Department of Justice - Federal Bureau of Prisons, US,31
Long Beach Police Department, CA,31
Missouri State Highway Patrol, MO,31
Prince George's County Police Department, MD,31
Illinois Department of Corrections, IL,30
Portland Police Bureau, OR,30
El Paso Police Department, TX,30
DeKalb County Police Department, GA,30
